日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-06-02,66.26328120186665,66.33149493312541,67.78309304937294,63.71013327698755,5103705,440977283.8294972,3.36307545108521,-4.403591152518497,-1.6624938034251513,1.310664745944273
2025-06-03,64.61300148366928,65.64545390547383,66.41126679983215,65.56288443997533,7950296,257736327.73277056,2.880927446975953,3.4951277543015173,1.5169944011760146,3.679553999565163
2025-06-04,67.38184440016555,67.24908727855073,67.3725406284455,65.27983248352744,3509851,101040677.65062602,3.576282064825109,3.1834405045314504,-1.4316940334605315,3.797732278536733
2025-06-05,69.03899056342331,68.16584124714552,71.06164906880491,68.07070156043936,8557519,674663779.1694031,4.078446232072849,2.0902163171906825,1.0266801723779686,1.453617770649123
2025-06-06,67.78691547470392,67.29354209025955,69.75324176995902,66.70742926719467,1431795,120930734.6293481,4.679871108153315,1.0787861626479325,1.5739782804972808,4.216765080875136
2025-06-09,65.33936832709055,64.94129604049596,67.15844258818922,63.72273650569467,2451381,585489684.1211944,1.1042031477693166,-3.2214602584846785,-1.9783860183243744,2.084845147109939
2025-06-10,63.349219183753604,63.40831595146435,66.18656084598162,61.59121239942352,2359571,532847534.74096197,6.300791135299054,-0.07898589685449853,0.08632548371596505,4.185083640630647
2025-06-11,64.19360717800619,63.40855281606055,64.01584926535637,61.14574100700696,5352840,161184033.99000338,2.9990693137668263,1.5079718577651047,-0.8071023878901014,1.624655758046212
2025-06-12,65.7255937939759,65.00435979549964,66.80719974272006,63.948283994143026,1667273,184942603.9669801,3.3257704885368344,-2.677435012774417,-1.3956845086185719,3.758872013144165
2025-06-13,65.41584434470879,64.52261637536185,67.01318789144676,61.92537552133517,7797337,637076053.9887811,1.5354607727436207,3.814050776859414,-1.6010247584573678,3.1933488471823512
2025-06-16,65.48794525936806,65.63768352573287,66.42325395776126,65.40141067153859,4021092,428292580.04912657,2.9865973073346126,2.0394028164472857,-0.9471427876879539,4.4514712890906845
2025-06-17,65.01897998974643,65.3676290633369,65.54662488156083,62.39203055344522,5091227,389339796.0513685,5.2928832391595,-1.5284110773467119,-1.85593072126902,4.522835368115548
2025-06-18,64.15392469363283,64.2422120497338,66.6685103326505,63.08499105141596,6912658,569160044.9069734,3.409229139922716,-2.259746843526438,1.1565305171350464,2.96201463396882
2025-06-19,65.8911280904716,64.87059988236179,67.71279693510645,62.65084814476721,5188186,150677472.30015713,2.5263371250911337,-0.4720721385407902,-1.1893965555903012,4.534041625419993
2025-06-20,65.16479754833033,65.23544725025526,66.42028580701253,63.95161199576224,7573068,594255522.2396863,7.436420384737809,4.847860131557523,1.3373743843947103,3.1096352961179394
2025-06-23,64.66449496187886,65.65324389060082,68.28355425757071,64.87564754010982,1116289,515867409.47442085,4.596950137337489,4.498848013775699,1.5750275506426852,1.579389404148729
2025-06-24,65.30359844022773,64.1045736713885,66.57480232611464,63.13167338249263,7400573,538935163.9270719,4.83527793479365,3.9575958401606304,-1.3751820144304587,4.345246852482038
2025-06-25,63.4033791513691,62.392373408313865,65.42587616840731,61.20852853877966,2225518,412104870.7653303,7.569707952072595,-2.8234468670009525,-0.8451722158529855,3.93174386683356
2025-06-26,63.996437295182666,63.131962766273624,64.12419610441518,63.077989146169216,8681058,212272260.06288224,3.1767734120771585,-2.7445001010784855,-0.3303331658861519,1.536635859457169
2025-06-27,61.958661174414424,62.42195949131062,63.6633843265487,61.15815890077198,9195054,433150034.3375713,4.326718176056642,-0.7051894661596956,0.6330966335115451,0.7880432504367803
