日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-06-02,35.31639667876351,34.96067091108496,36.5767444257224,34.89762077266094,6418257,112749492.19374362,2.815342975734675,-1.8746919208972823,1.9834715492297592,2.0221972316539425
2025-06-03,35.02501645495259,34.62147322164982,36.00454394685213,33.508977474893086,6727171,262838157.8955048,4.414698054083907,3.933205089166183,-1.0916277731211763,2.4027730454825336
2025-06-04,34.68063111439567,34.89394462652659,35.63604838631439,34.11802435660226,8876754,300460346.8591276,2.3359440227874204,-2.569527995123355,1.3576057978707503,3.8716330303930535
2025-06-05,34.68229368594319,34.74206934305258,34.93954842304742,33.939956871646565,8707629,171416814.26551193,5.321643285276993,0.9378857518539929,1.057026449544249,1.032854294726537
2025-06-06,35.44186214867425,35.13369743064444,36.52325405416856,34.522062382661446,6402620,86860302.3501362,4.480208824745713,-0.6398209461775393,0.10986517643355453,1.9352212440779266
2025-06-09,34.64229855630551,34.78128723235255,36.133750321456624,34.32463130198452,4711810,336876592.1790569,7.794329878101208,2.371074488499688,-1.4114128454880706,0.5618733655014927
2025-06-10,34.17661784509682,34.08161198669925,34.786776860543085,33.97218717649487,6485102,271685864.2350834,7.005414608022892,-3.5008514158297777,1.4856334021050506,3.486461445965516
2025-06-11,33.43775613838761,33.930530742534195,35.05464400728198,33.40710854680045,2843627,105883376.721437,5.428008895307118,3.6749685720309184,-0.5551433459291673,1.8813422245147016
2025-06-12,34.54447126507677,34.52489635130112,35.95890346694588,33.589817612386696,1912200,183244063.67499503,4.013997765235131,-4.698458441635137,0.7079283776246359,1.3552291730070476
2025-06-13,34.266460627926406,34.65377096914947,35.06082740875362,34.436789759453475,1701686,326649633.30213207,2.961212071698473,3.952157562044821,1.554612775991337,3.8183799039730095
2025-06-16,33.93956306625652,33.658752927313174,34.902878902163984,33.32588125078249,8871284,192947589.4407174,7.80957283916785,-3.741987653130221,0.41110196581431113,0.6317508248643926
2025-06-17,32.890758428547834,33.327107780138675,33.683768076554124,32.736603870858474,4309394,226210876.80582258,2.8513216922197926,2.9520009768967537,-0.16897481009909887,4.922475529252615
2025-06-18,33.16339263991668,32.8970998714475,33.537307882295835,32.16968712844726,9945624,55023491.862383865,4.101446081084721,4.440137032902772,1.3825646808061984,2.8828275496686557
2025-06-19,33.761232748441905,33.405937329124896,34.53140659360471,32.30665224350133,7551410,252413792.59762523,4.410223024576857,-1.7528575462186167,0.6785520448979399,0.663078200275206
2025-06-20,32.75325318502882,33.105952227855795,33.651488362107244,32.01984935782245,2387764,82257366.32198645,1.5231234469641384,0.4048685275783317,1.7159315184478552,4.318696817701709
2025-06-23,33.12824631081327,32.52287615445454,32.938566241758394,31.839382422506375,1135384,50260722.71758943,5.884557781273207,-0.07368467300428172,-0.33038873927266454,2.887509988179425
2025-06-24,32.65882767335365,32.118338724706966,33.2204099833188,31.42998074290503,8039569,106784579.47982392,3.3888343154516725,3.1950263094393136,1.9942105652329913,4.903494860770889
2025-06-25,31.95288329667904,32.269065207045,33.677303863112286,31.71588848252565,7953519,306180346.2025915,4.497645587281493,0.5918192904090596,0.24566801156033025,4.915151133336128
2025-06-26,32.29293030895711,32.017954892670204,33.344219391693734,31.86212144709866,4900869,78534600.29938826,2.1922686606654733,1.7583901297497562,0.6317666631082277,2.0639881073823343
2025-06-27,31.321332775545653,31.038610442265878,31.74465059674846,30.11980520704384,1305917,76985500.02049825,7.577980493535107,4.997429346580285,-0.5693131814146923,4.311385105499534
